ImageNmae,Decoder
Img-1.png,['00100011001011011111010001000000']
Img-2.png,['11011001010010010011110111101011']
Img-3.png,['01001000011101101000011100000010']
Img-4.png,['01001100110111011110110001010101']
Img-5.png,['01011011010011101010100001111100']
Img-6.png,['01000101010110111011111101001001']
Img-7.png,['01101001110111010111110001011101']
Img-8.png,['01100110100011011001011001000001']
Img-9.png,['10111011110011010111011101000010']
Img-10.png,['10110111110001110111101001010000']
Img-11.png,['00100100000011100101110101010101']
Img-12.png,['11110101000110011001001000000011']
Img-13.png,['11101011011100111100110001001001']
Img-14.png,['10100010000010011111011001000010']
Img-15.png,['11011011010111101011110100011011']
Img-16.png,['10101011001100101010101100101001']
Img-17.png,['01111000110001010111110100010001']
Img-18.png,['01101111010111010011100111011100']
Img-19.png,['01101010000110100100000100011101']
Img-20.png,['11101100110110010100011011000011']
Img-21.png,['01000000110111010110110101100101']
Img-22.png,['00001001010110010100000101010011']
Img-23.png,['01101011111110101111110101011001']
Img-24.png,['00111100100000011111101001010000']
Img-25.png,['01001010110111010001111110000010']
Img-26.png,['00010011000100110111110001011110']
Img-27.png,['11101000110100011111111001001100']
Img-28.png,['01010100011101101110000110111001']
Img-29.png,['10110001000010011011011001010010']
Img-30.png,['01011001110001011011110100001001']
Img-31.png,['10101001110000011101010001000010']
Img-32.png,['10001000111110111111100101000000']
Img-33.png,['00001011001101010011101100000101']
Img-34.png,['11100010001010010101100101010101']
Img-35.png,['11101010110110000001110011010010']
Img-36.png,['11100010000010011111011001111001']
Img-37.png,['11000000111101011110110111000111']
Img-38.png,['01101111100001110100100100010011']
Img-39.png,['01100011100011111101000001011111']
Img-40.png,['10111000011101101001100000010000']
Img-41.png,['11101110110010101111101101011011']
Img-42.png,['10001011010110110110110101001101']
Img-43.png,['00101000000111010011101101000001']
Img-44.png,['11111011000111111100011101000011']
Img-45.png,['10011001011110111111110101000001']
Img-46.png,['01101000010010010100100000010000']
Img-47.png,['11101001000000110110110000011101']
Img-48.png,['01010110010110011111111001100100']
Img-49.png,['01101011110111111011110101011000']
Img-50.png,['11101000010110110111100101011001']
Img-51.png,['01101101001111110111111101010000']
Img-52.png,['10101010010111010101010001010111']
Img-53.png,['10010010011010111111100101010011']
Img-54.png,['10001000010001010110110100000101']
Img-55.png,['01101010111111001010100101001101']
Img-56.png,['00101110010000010111101110010010']
Img-57.png,['11111010010011010111000100010010']
Img-58.png,['10011010000111010111100000011011']
Img-59.png,['01110011000101100001111011010001']
Img-60.png,['11101011011110011110110001110100']
Img-61.png,['10110100010010110111110010111000']
Img-62.png,['01000110111101111011101101000000']
Img-63.png,['00110000111100110110101101000000']
Img-64.png,['01001100100100110110110101011001']
Img-65.png,['11110100010110111111000101010001']
Img-66.png,['11111001000011011001011111000011']
Img-67.png,['11011001010101000111110000000001']
Img-68.png,['10001111101101010001111001010001']
Img-69.png,['11100111110000011111111011010001']
Img-70.png,['01101101110100010111110001011100']
Img-71.png,['10001111010010010111111101110100']
Img-72.png,['00101000110110110111110100000101']
Img-73.png,['01101000110101010101110000000001']
Img-74.png,['11101111000001111111000001111011']
Img-75.png,['01001000110110110111110100011011']
Img-76.png,['00101010000111011111111011011001']
Img-77.png,['00011011110001000001110101110011']
Img-78.png,['00101001000010011011111001100010']
Img-79.png,['00000000110110110001110000000110']
Img-80.png,['11101011000010011100011001001011']
Img-81.png,['11110010100010011101011110001011']
Img-82.png,['01001000101111010011110101000001']
Img-83.png,['01101010110010010101111011011011']
Img-84.png,['00111010010110010111111101000001']
Img-85.png,['01001111000011011100010001011000']
Img-86.png,['11111001110011010110000110110011']
Img-87.png,['11100011010110011101011101000011']
Img-88.png,['11100010100111011101010100011011']
Img-89.png,['10110001100101110010001100100010']
Img-90.png,['00101001110101010111111000010011']
Img-91.png,['10101000100111001000010110010011']
Img-92.png,['11111011000100010110010111110000']
Img-93.png,['00111000010111110101110101010111']
Img-94.png,['10100010010000010110100100000001']
Img-95.png,['00101111010011111001111101001100']
Img-96.png,['11001000101110110111110100010011']
Img-97.png,['10110001001111011101110001110001']
Img-98.png,['01101001000100010110010100011101']
Img-99.png,['11101001100000011110010001011001']
Img-100.png,['10101001000000010111000100011001']
