ImageNmae,Decoder
Img-1.png,['11011011010001111110111101110001']
Img-2.png,['11110010010001011111110101100000']
Img-3.png,['11011010001100011110110101110000']
Img-4.png,['10011010000110011111010101110011']
Img-5.png,['10101010000110010111110101110100']
Img-6.png,['00010001111101011101001110010110']
Img-7.png,['00101000110110011110011011000101']
Img-8.png,['10110110110010011101010101100010']
Img-9.png,['01100000110001101111100001010011']
Img-10.png,['10100110111010011011110100010010']
Img-11.png,['10010010110101011101100101110010']
Img-12.png,['11101010000101010101111011010010']
Img-13.png,['11000011000010010111010101100001']
Img-14.png,['10110011110100011101011010000110']
Img-15.png,['10110010111010011100011111011111']
Img-16.png,['01100010010000010101111011001000']
Img-17.png,['01100011011010110110111011011000']
Img-18.png,['11111011010000011101011000000011']
Img-19.png,['11110011011101011101011001100111']
Img-20.png,['10110011000011011101011001000011']
Img-21.png,['11110011010000011001011001000010']
Img-22.png,['11100110000010011101011100000011']
Img-23.png,['11111011010001011001110101010101']
Img-24.png,['11011011010111011000011010000111']
Img-25.png,['11101011100011011111111001000011']
Img-26.png,['10110011000100011100010001010011']
Img-27.png,['01110110111000010110111001010000']
Img-28.png,['01011110110100010010101110011010']
Img-29.png,['01110110110000010110110111010011']
Img-30.png,['01111110010000010110110000011000']
Img-31.png,['01110110110000010100110101011010']
Img-32.png,['01110110110010010110111110001010']
Img-33.png,['01001110111111111011110100011110']
Img-34.png,['11101111001111000110110101011110']
Img-35.png,['11001010110111000011110100011100']
Img-36.png,['01000110110111010111101000011000']
Img-37.png,['11001100111101111111110100011110']
Img-38.png,['10000111011110100101010011011110']
Img-39.png,['10110010000000011111101111000110']
Img-40.png,['10110010100001011101011011010010']
Img-41.png,['11100010100000011111011010000011']
Img-42.png,['10111010111001011101011011000110']
Img-43.png,['10010010110101011101011011000111']
Img-44.png,['10100010000000011111011110010011']
Img-45.png,['01101110111111010110100001010000']
Img-46.png,['11100010001001010111111101001000']
Img-47.png,['10101110010100010111111001011011']
Img-48.png,['10110111010111110100000100011001']
Img-49.png,['01111010110101010111100001011101']
Img-50.png,['00111111110100010100100000100000']
Img-51.png,['10010000110100010111011000011010']
Img-52.png,['10111010010000011111101011000011']
Img-53.png,['11111010010001010111101101001010']
Img-54.png,['11111010001000011110111011010010']
Img-55.png,['11110010101000011111011011000010']
Img-56.png,['01111001001111010101111001100000']
Img-57.png,['11101010011000011101011011010000']
Img-58.png,['01111010100010010111111001001011']
Img-59.png,['10100011101000011111101001000010']
Img-60.png,['11101010010000011111011001000100']
Img-61.png,['10110011001000011100110001000010']
Img-62.png,['11110011011100010100110001011000']
Img-63.png,['10100011001000011111111001000010']
Img-64.png,['00101010110110011101110001011101']
Img-65.png,['01100010100110011110101111011101']
Img-66.png,['11100010101010011111011011000001']
Img-67.png,['01111110011101010111100000010101']
Img-68.png,['01100111001110111011001100000000']
Img-69.png,['00110110100001011111001101010001']
Img-70.png,['01100011001010111111011101011000']
Img-71.png,['01111011001010010011000111011001']
Img-72.png,['01100010100010011111101101011011']
Img-73.png,['10100011110000010111100101010111']
Img-74.png,['01100010010010011111111001001001']
Img-75.png,['01100110010100110111111111000001']
Img-76.png,['10110001100000111111011000010010']
Img-77.png,['01101110110000011111001001000011']
Img-78.png,['01101111110001011111111100000000']
Img-79.png,['11110010000010011111011001100010']
Img-80.png,['00100111011000011110101001010110']
Img-81.png,['11110010110000011101011001000010']
Img-82.png,['01101010110011011111001001000011']
Img-83.png,['01100011011100011111111001001011']
Img-84.png,['11100011000000011111011001010010']
Img-85.png,['11100011000111011111101101101101']
Img-86.png,['11011010010111011110011101010111']
Img-87.png,['11111011010101011000011001010111']
Img-88.png,['11110010010110011101111101100101']
Img-89.png,['11111011000111011101011011000011']
Img-90.png,['11111010000010011110011011000011']
Img-91.png,['11110011010101011001010101010011']
Img-92.png,['11111011000110011100011010000011']
Img-93.png,['11110010010101011100011011010111']
Img-94.png,['01111111010010011010000101011100']
Img-95.png,['01101010010010010110010101010001']
Img-96.png,['11100111000010011110111001011100']
Img-97.png,['01111001010011101100110100010010']
Img-98.png,['11110010010111011101000001001001']
Img-99.png,['00001111010111010011110111011001']
Img-100.png,['11101100100001010110111101011010']
