ImageName,Decoder
Img-1.png,['00001100010100010000001001000010']
Img-10.png,['01001001100011000011110000001000']
Img-100.png,['10000000100000000000011101110010']
Img-11.png,['11111110111100000000000011111101']
Img-12.png,['11100011000000000000010011001100']
Img-13.png,['00000000000010001111000000000100']
Img-14.png,['00000000000000000000000000000000']
Img-15.png,['00000000000000000000000000000000']
Img-16.png,['11000110011000000000000001111100']
Img-17.png,['11111100100100000011001100010110']
Img-18.png,['11111111111111111111101010000000']
Img-19.png,['00000000000000000000000000000000']
Img-2.png,['00001101110110000001100110110111']
Img-20.png,['11111111111111111111111111111111']
Img-21.png,['11111111111111111111111111111111']
Img-22.png,['01001101111110011010000010011111']
Img-23.png,['00110100001111010000000000000000']
Img-24.png,['00000000000101110000000000010010']
Img-25.png,['11101111111111111111111100111011']
Img-26.png,['11011110111011100001101101111111']
Img-27.png,['10101100001100000010000001011001']
Img-28.png,['00000000000000000000000000000000']
Img-29.png,['11111111100000001001111111110111']
Img-3.png,['10000011010110100000001010110111']
Img-30.png,['11111011011100110111000000011111']
Img-31.png,['11101111111111111111111111111111']
Img-32.png,['01010010111100101101111010011000']
Img-33.png,['11100000000001000000000000001111']
Img-34.png,['00000111000100000101001101101000']
Img-35.png,['00000100000000000000000000000000']
Img-36.png,['00000000000000000000000000000000']
Img-37.png,['10010010011111110100000000000000']
Img-38.png,['00001010011111110011101111111111']
Img-39.png,['10000000000110111101001101111111']
Img-4.png,['01100101010010110111011100000011']
Img-40.png,['01011100101011110001000110101101']
Img-41.png,['11100110010100110111111001000000']
Img-42.png,['10010100001000101110111100010000']
Img-43.png,['11000001111111010111111111011100']
Img-44.png,['11000100000000000000000000000000']
Img-45.png,['10101111100110101010111100000111']
Img-46.png,['10010111111110000000000111100011']
Img-47.png,['11100000000111111111111111111110']
Img-48.png,['00000000101000000000001110011000']
Img-49.png,['11111111111011110111101101111111']
Img-5.png,['01000010000111011000010001111110']
Img-50.png,['01011110101001011011111100001011']
Img-51.png,['00000011000000000000000000000000']
Img-52.png,['01001110000000001101000000100101']
Img-53.png,['00000000000000000000000000000000']
Img-54.png,['00000000000000000000000000000000']
Img-55.png,['00000001000001111000000000000000']
Img-56.png,['00111100010000000010100000110110']
Img-57.png,['10110000001000111110000010111000']
Img-58.png,['01101010011000000010111001100010']
Img-59.png,['10100010100111111111100000000000']
Img-6.png,['11111111111111111111111111111111']
Img-60.png,['11000010001111111111111110001101']
Img-61.png,['00000000000000000000000000000000']
Img-62.png,['11010000100000010111101010001011']
Img-63.png,['00000000000000000000000000000000']
Img-64.png,['11010001000000011101000000000000']
Img-65.png,['01111111000110001000010100000100']
Img-66.png,['11010000001010101111111110011111']
Img-67.png,['11111111111110111111111111111111']
Img-68.png,['00000001111110010000000000000010']
Img-69.png,['00100100000000000001100000000110']
Img-7.png,['11111111111111111111111010011111']
Img-70.png,['10001111111000000111001100000100']
Img-71.png,['00000000001110010110001100000000']
Img-72.png,['00000111001100000000000000000000']
Img-73.png,['00000000110000000010000010000010']
Img-74.png,['00000000000101000100101101111101']
Img-75.png,['10000000000111011000011111111111']
Img-76.png,['10111111000000111110011001110111']
Img-77.png,['11111111111111111111111111111111']
Img-78.png,['00111111111111111111111111111101']
Img-79.png,['01111000100111110001000101011000']
Img-8.png,['00100000000000000000000000000000']
Img-80.png,['00001000001000001111111111111110']
Img-81.png,['00000000000000000000000000000000']
Img-82.png,['00000111110001101111111111100100']
Img-83.png,['00001010010000001100110011000110']
Img-84.png,['00000000000000000010000000000000']
Img-85.png,['11110001111111111111111111111111']
Img-86.png,['11011001000101011111011011101011']
Img-87.png,['00000000111011111100101111011001']
Img-88.png,['01000000000111100011000001000010']
Img-89.png,['00001000000010000000000010000000']
Img-9.png,['10000110000000000001000000000011']
Img-90.png,['11110111111111011111111101000110']
Img-91.png,['00100001101101110011000011001011']
Img-92.png,['00000000000000000001000000000000']
Img-93.png,['00000000000000000000010101000000']
Img-94.png,['00000000000000000000000000000000']
Img-95.png,['00001000000000000110000101000010']
Img-96.png,['01000000000000011001101111000100']
Img-97.png,['10100000010000000000000000000000']
Img-98.png,['00011101100000000001011111110010']
Img-99.png,['10111000010111101101010110111100']
