ImageName,Decoder
Img-1.png,['11111000100000000000001011111000']
Img-10.png,['00000000011110011111100111010100']
Img-100.png,['11111111111111100000000100000000']
Img-11.png,['11101101111111000010010100001101']
Img-12.png,['00010100000100010001100110011111']
Img-13.png,['00000010100001111100101111111110']
Img-14.png,['01100000111000000011011110110110']
Img-15.png,['00111011111101011001111001000010']
Img-16.png,['11111110100001011111111010100000']
Img-17.png,['01011111110110001001111000111000']
Img-18.png,['10001011111000101100000000100000']
Img-19.png,['10011110101111001101010110011111']
Img-2.png,['11111111111011101001000000111110']
Img-20.png,['01100000100000011111111111111111']
Img-21.png,['00111100001111111111111010101110']
Img-22.png,['11100111111001100010011111100001']
Img-23.png,['00000000000101100011010101110000']
Img-24.png,['00000100000011110111100000001111']
Img-25.png,['11111011111111111111111111111111']
Img-26.png,['00000000000010010000000000001101']
Img-27.png,['00000001010110110000011100110000']
Img-28.png,['10100000000000000000010000000000']
Img-29.png,['00111101111101000000101011111110']
Img-3.png,['10111010111011100100100111111010']
Img-30.png,['10100001111000111110001001100010']
Img-31.png,['01100000000111110110000110000101']
Img-32.png,['00010111110000110111111111111001']
Img-33.png,['00010001011011011100000001100100']
Img-34.png,['10100001000101010111100100100000']
Img-35.png,['01111011011010101011010001001110']
Img-36.png,['00001110011111011011011001111011']
Img-37.png,['10000111100111110011010101010111']
Img-38.png,['00000110000101111111111001111011']
Img-39.png,['00000011000101010000000111110000']
Img-4.png,['10010000000000111110000000001100']
Img-40.png,['00011110101000100010111101111010']
Img-41.png,['00000001001010111111101111100110']
Img-42.png,['11110111100111010111011111110000']
Img-43.png,['11101011101110000010000100001010']
Img-44.png,['11100101111111010010011111011001']
Img-45.png,['00000000000000000000000000000000']
Img-46.png,['00000000000000000000000000000000']
Img-47.png,['00000000001111000000100111111111']
Img-48.png,['11000100000000011110001111101111']
Img-49.png,['11111111111100000011111111111111']
Img-5.png,['00000000000101011001000000000000']
Img-50.png,['00000000000000000000000000000000']
Img-51.png,['01111110100000000011110001100101']
Img-52.png,['01111111111001000000000100111111']
Img-53.png,['00000000000000000000000000000000']
Img-54.png,['10000001111111111100010000001101']
Img-55.png,['01111111100111000010010000000000']
Img-56.png,['10000000111111111110000111111111']
Img-57.png,['00000000000011000111000000110100']
Img-58.png,['00000000000000000000000000000000']
Img-59.png,['11111111111111111111111111111111']
Img-6.png,['10111010000010111110011110011000']
Img-60.png,['11011100011111001100011011100010']
Img-61.png,['00000000000000000000000000000000']
Img-62.png,['00000000000000000000000000000001']
Img-63.png,['00000000000000000000000000000000']
Img-64.png,['00000000000000000000000000000000']
Img-65.png,['10001010101010111111111110011101']
Img-66.png,['11010010000000000000001000111110']
Img-67.png,['11001111111110111100001111111111']
Img-68.png,['01000101100010000111000000100000']
Img-69.png,['11011110011111111100010011111110']
Img-7.png,['11111111111111111111111100000001']
Img-70.png,['00000000000000000000000000000010']
Img-71.png,['10000100110010011010011010000011']
Img-72.png,['00011100000010001100000011111111']
Img-73.png,['11110011111111110100000000000011']
Img-74.png,['10000000000011011010000000000100']
Img-75.png,['10101101011101001111100011101101']
Img-76.png,['10010110000000000000000001110100']
Img-77.png,['00001111111101111111111111110100']
Img-78.png,['00000000000000000000000000000000']
Img-79.png,['11111110010110001110011100101110']
Img-8.png,['00000100000101111111111001111101']
Img-80.png,['11110101100110110000000110101000']
Img-81.png,['11111111111111111111111111110001']
Img-82.png,['11110000000100011101110101010000']
Img-83.png,['00000000000000000000000000000000']
Img-84.png,['00000000011000100000000000000000']
Img-85.png,['01001011111101100011111111111100']
Img-86.png,['11110001111111110111111111000011']
Img-87.png,['10011111111101000011111111111111']
Img-88.png,['11111111111010000100000011111100']
Img-89.png,['11100001000111111111000100111111']
Img-9.png,['11111101110000000001110100111010']
Img-90.png,['00000000000000000000000000000000']
Img-91.png,['00000000000000000010000001000000']
Img-92.png,['00001100000011110111100100111100']
Img-93.png,['00000000001110000111111111000000']
Img-94.png,['00000110010101110001111110000010']
Img-95.png,['11111111111111111111111111111111']
Img-96.png,['00000101000111000100000000000000']
Img-97.png,['00000000000000000000000000000000']
Img-98.png,['11111100110100111001000000011100']
Img-99.png,['00000000000000000001100010000000']
