ImageName,Decoder
Img-1.png,['10011110100111011000011111000110']
Img-10.png,['11000011011010110101000100001110']
Img-100.png,['10000000000010000010011010011010']
Img-11.png,['11000011010110001000000010100000']
Img-12.png,['10000100000001000000010100000000']
Img-13.png,['01000011010000001000000101111001']
Img-14.png,['00000000001001100000000000000000']
Img-15.png,['00000100000000000000010000000000']
Img-16.png,['00001000001111101001011000010000']
Img-17.png,['00100100001110000000011000100001']
Img-18.png,['11000100001001001000011110010001']
Img-19.png,['10001000010001001000000111011101']
Img-2.png,['01110011100110110100100110110010']
Img-20.png,['10100100101101001100001110000000']
Img-21.png,['00100100000000100010010000000100']
Img-22.png,['10000010111101010110010000110010']
Img-23.png,['00001000000101101011000110001000']
Img-24.png,['01111010011100011111101000110111']
Img-25.png,['00111001000011110111100110000110']
Img-26.png,['11100101000101111001101000011000']
Img-27.png,['00011011010101000110111000111011']
Img-28.png,['00000001001000001000000000000000']
Img-29.png,['00000100000000001010000000000100']
Img-3.png,['01100101010100000010100100010001']
Img-30.png,['00000001001001100011000000000010']
Img-31.png,['00000100010001000111001010000000']
Img-32.png,['10011011010000001010111011001001']
Img-33.png,['10100000011010101011100000110000']
Img-34.png,['10001100001001001101000101100000']
Img-35.png,['00001101010100000100100010110000']
Img-36.png,['00000000001000000000000000000000']
Img-37.png,['10100101000100110100001010000100']
Img-38.png,['10010100100110011101101111010110']
Img-39.png,['01101001110010001111001110110000']
Img-4.png,['00100101010100100010111010001000']
Img-40.png,['11111111101011111011101101111111']
Img-41.png,['11000100101011111001100111010010']
Img-42.png,['10100101100111100000011010011000']
Img-43.png,['01100000101000000010111001110001']
Img-44.png,['01001011000000110000100000000100']
Img-45.png,['01111100101101001000011101101100']
Img-46.png,['10101100101010110101001100000110']
Img-47.png,['00010011011011011101110010001000']
Img-48.png,['10100001101001000111000100000001']
Img-49.png,['01010100101110010101000010110100']
Img-5.png,['01100100000011110101000111000110']
Img-50.png,['10100101111100001000011001111101']
Img-51.png,['11101001000110010110111111001110']
Img-52.png,['00101100010110110111100001101010']
Img-53.png,['00000000000000000000000000000000']
Img-54.png,['10100101110110100100100110101100']
Img-55.png,['10001010010111011110110000101001']
Img-56.png,['01001000000100010001110000100101']
Img-57.png,['00100100100001110100000000100100']
Img-58.png,['11110111111010011110111111111111']
Img-59.png,['11100101001010110000000010010110']
Img-6.png,['00110101100001001100000110100100']
Img-60.png,['10011110010000001110111011101100']
Img-61.png,['00100100010100000110010000000000']
Img-62.png,['00000100101101100100010010001010']
Img-63.png,['00100101101001100010011000000000']
Img-64.png,['01001000000101010010010000000000']
Img-65.png,['01110011000000010110110000100110']
Img-66.png,['01000001000001000111001010010101']
Img-67.png,['10000010101100001000110000011010']
Img-68.png,['00100100100011101110000110000100']
Img-69.png,['01010100001100001100111000010101']
Img-7.png,['00000101001000100000000100000000']
Img-70.png,['00100000110011100111000010010100']
Img-71.png,['00100100000000000000100111000000']
Img-72.png,['10111011010100001110111000111101']
Img-73.png,['00101000010101000010111011001001']
Img-74.png,['01011011000000100000000000111000']
Img-75.png,['00100101010100000101000010000000']
Img-76.png,['00001100111011001001100001000000']
Img-77.png,['11001000000111001000000100000000']
Img-78.png,['11101110111011101001001111110110']
Img-79.png,['01111011010111001110101000000001']
Img-8.png,['01100100000110110111000110110110']
Img-80.png,['00000100101010111001000100110110']
Img-81.png,['00100101100101000110011000000000']
Img-82.png,['01000000100111100010001110100000']
Img-83.png,['11100100000001011011101011000100']
Img-84.png,['01011110010001000010001110001001']
Img-85.png,['01010010001011111001101101000100']
Img-86.png,['01100110100011111111100000100010']
Img-87.png,['00100101110011100110001010100000']
Img-88.png,['11101110101011111110011011010110']
Img-89.png,['10001000100010111100011110001111']
Img-9.png,['01000101000011010101001011010101']
Img-90.png,['11101001110111000000001011100001']
Img-91.png,['11101111000100011100110011001100']
Img-92.png,['00100100100000110100000101001000']
Img-93.png,['10001111000110010000101011100111']
Img-94.png,['01110011100000001010111000110010']
Img-95.png,['10001101101011011100010010000011']
Img-96.png,['00011001011101001010011011000101']
Img-97.png,['11000001011101001000000000000000']
Img-98.png,['01101010000100000011001011100101']
Img-99.png,['01110101010010111001101110000110']
