ImageNmae,Encoder,Decoder,Match
Img-1.png,['0001010'],['0001010'],True
Img-2.png,['0001010'],['0001010'],True
Img-3.png,['0001010'],['0001010'],True
Img-4.png,['0001010'],['0001010'],True
Img-5.png,['0001010'],['0001010'],True
Img-6.png,['0001010'],['0001010'],True
Img-7.png,['0001010'],['0001010'],True
Img-8.png,['0001010'],['0001010'],True
Img-9.png,['0001010'],['0001010'],True
Img-10.png,['0001010'],['0001010'],True
Img-11.png,['0001010'],['0001010'],True
Img-12.png,['0001010'],['0001010'],True
Img-13.png,['0001010'],['0001010'],True
Img-14.png,['0001010'],['0001010'],True
Img-15.png,['0001010'],['0001010'],True
Img-16.png,['0001010'],['0001010'],True
Img-17.png,['0001010'],['0001010'],True
Img-18.png,['0001010'],['0001010'],True
Img-19.png,['0001010'],['0001010'],True
Img-20.png,['0001010'],['0001010'],True
Img-21.png,['0001010'],['0001010'],True
Img-22.png,['0001010'],['0001010'],True
Img-23.png,['0001010'],['0001010'],True
Img-24.png,['0001010'],['0001010'],True
Img-25.png,['0001010'],['0001010'],True
Img-26.png,['0001010'],['0001010'],True
Img-27.png,['0001010'],['0001010'],True
Img-28.png,['0001010'],['0001010'],True
Img-29.png,['0001010'],['0001010'],True
Img-30.png,['0001010'],['0001010'],True
Img-31.png,['0001010'],['0001010'],True
Img-32.png,['0001010'],['0001010'],True
Img-33.png,['0001010'],['0001010'],True
Img-34.png,['0001010'],['0001010'],True
Img-35.png,['0001010'],['0001010'],True
Img-36.png,['0001010'],['0001010'],True
Img-37.png,['0001010'],['0001010'],True
Img-38.png,['0001010'],['0001010'],True
Img-39.png,['0001010'],['0001010'],True
Img-40.png,['0001010'],['0001010'],True
Img-41.png,['0001010'],['0001010'],True
Img-42.png,['0001010'],['0001010'],True
Img-43.png,['0001010'],['0001010'],True
Img-44.png,['0001010'],['0001010'],True
Img-45.png,['0001010'],['0001010'],True
Img-46.png,['0001010'],['0001010'],True
Img-47.png,['0001010'],['0001010'],True
Img-48.png,['0001010'],['0001010'],True
Img-49.png,['0001010'],['0001010'],True
Img-50.png,['0001010'],['0001010'],True
Img-51.png,['0001010'],['0001010'],True
Img-52.png,['0001010'],['0001010'],True
Img-53.png,['0001010'],['0001010'],True
Img-54.png,['0001010'],['0001010'],True
Img-55.png,['0001010'],['0001010'],True
Img-56.png,['0001010'],['0001010'],True
Img-57.png,['0001010'],['0001010'],True
Img-58.png,['0001010'],['0001010'],True
Img-59.png,['0001010'],['0001010'],True
Img-60.png,['0001010'],['0001010'],True
Img-61.png,['0001010'],['0001010'],True
Img-62.png,['0001010'],['0001010'],True
Img-63.png,['0001010'],['0001010'],True
Img-64.png,['0001010'],['0001010'],True
Img-65.png,['0001010'],['0001010'],True
Img-66.png,['0001010'],['0001010'],True
Img-67.png,['0001010'],['0001010'],True
Img-68.png,['0001010'],['0001010'],True
Img-69.png,['0001010'],['0001010'],True
Img-70.png,['0001010'],['0001010'],True
Img-71.png,['0001010'],['0001010'],True
Img-72.png,['0001010'],['0001010'],True
Img-73.png,['0001010'],['0001010'],True
Img-74.png,['0001010'],['0001010'],True
Img-75.png,['0001010'],['0001010'],True
Img-76.png,['0001010'],['0001010'],True
Img-77.png,['0001010'],['0001010'],True
Img-78.png,['0001010'],['0001010'],True
Img-79.png,['0001010'],['0001010'],True
Img-80.png,['0001010'],['0001010'],True
Img-81.png,['0001010'],['0001010'],True
Img-82.png,['0001010'],['0001010'],True
Img-83.png,['0001010'],['0001010'],True
Img-84.png,['0001010'],['0001010'],True
Img-85.png,['0001010'],['0001010'],True
Img-86.png,['0001010'],['0001010'],True
Img-87.png,['0001010'],['0001010'],True
Img-88.png,['0001010'],['0001010'],True
Img-89.png,['0001010'],['0001010'],True
Img-90.png,['0001010'],['0001010'],True
Img-91.png,['0001010'],['0001010'],True
Img-92.png,['0001010'],['0001010'],True
Img-93.png,['0001010'],['0001010'],True
Img-94.png,['0001010'],['0001010'],True
Img-95.png,['0001010'],['0001010'],True
Img-96.png,['0001010'],['0001010'],True
Img-97.png,['0001010'],['0001010'],True
Img-98.png,['0001010'],['0001010'],True
Img-99.png,['0001010'],['0001010'],True
Img-100.png,['0001010'],['0001010'],True
